X	Y (m)	z(m)		
	"1.57e3,"	1.97		
	"1.57e3,"	1.98		
	"1.57e3,"	1.98		
	"1.58e3,"	1.98		
	"1.58e3,"	1.98		
	"1.58e3,"	1.99		
	"1.59e3,"	1.99		
	"1.59e3,"	1.99		
	"1.59e3,"	2		
	"1.6e3,"	2		
	"1.6e3,"	2		
	"1.6e3,"	2		
	"1.61e3,"	2		
	"1.61e3,"	2		
	"1.62e3,"	2.01		
	"1.62e3,"	2.01		
	"1.62e3,"	2.01		
	"1.63e3,"	2.02		
	"1.63e3,"	2.02		
	"1.63e3,"	2.02		
	"1.64e3,"	2.03		
	"1.64e3,"	2.03		
	"1.64e3,"	2.03		
	"1.65e3,"	2.03		
	"1.65e3,"	2.03		
	"1.65e3,"	2.03		
	"1.66e3,"	2.04		
	"1.66e3,"	2.04		
	"1.67e3,"	2.05		
	"1.67e3,"	2.05		
	"1.67e3,"	2.05		
	"1.68e3,"	2.06		
	"1.68e3,"	2.06		
	"1.68e3,"	2.06		
	"1.69e3,"	2.06		
	"1.69e3,"	2.06		
	"1.69e3,"	2.06		
	"1.7e3,"	2.07		
	"1.7e3,"	2.07		
	"1.7e3,"	2.07		
	"1.71e3,"	2.08		
	"1.71e3,"	2.08		
	"1.71e3,"	2.08		
	"1.72e3,"	2.09		
	"1.72e3,"	2.09		
	"1.73e3,"	2.09		
	"1.73e3,"	2.09		
	"1.73e3,"	2.09		
	"1.74e3,"	2.1		
	"1.74e3,"	2.1		
	"1.74e3,"	2.1		
	"1.75e3,"	2.11		
	"1.75e3,"	2.11		
	"1.75e3,"	2.11		
	"1.76e3,"	2.12		
	"1.76e3,"	2.12		
	"1.76e3,"	2.12		
	"1.77e3,"	2.13		
	"1.77e3,"	2.13		
	"1.77e3,"	2.13		
	"1.78e3,"	2.13		
	"1.78e3,"	2.13		
	"1.79e3,"	2.13		
	"1.79e3,"	2.14		
	"1.79e3,"	2.14		
	"1.8e3,"	2.15		
	"1.8e3,"	2.15		
	"1.8e3,"	2.15		
	"1.81e3,"	2.16		
	"1.81e3,"	2.16		
	"1.81e3,"	2.16		
	"1.82e3,"	2.16		
	"1.82e3,"	2.16		
	"1.82e3,"	2.16		
	"1.83e3,"	2.17		
	"1.83e3,"	2.17		
	"1.84e3,"	2.17		
	"1.84e3,"	2.18		
	"1.84e3,"	2.18		
	"1.85e3,"	2.18		
	"1.85e3,"	2.19		
	"1.85e3,"	2.19		
	"1.86e3,"	2.19		
	"1.86e3,"	2.19		
	"1.86e3,"	2.19		
	"1.87e3,"	2.2		
	"1.87e3,"	2.2		
	"1.87e3,"	2.2		
	"1.88e3,"	2.21		
	"1.88e3,"	2.21		
	"1.88e3,"	2.21		
	"1.89e3,"	2.22		
	"1.89e3,"	2.22		
	"1.9e3,"	2.22		
	"1.9e3,"	2.22		
	"1.9e3,"	2.22		
	"1.91e3,"	2.23		
	"1.91e3,"	2.23		
	"1.91e3,"	2.23		
	"1.92e3,"	2.24		
	"1.92e3,"	2.24		
	"1.92e3,"	2.24		
	"1.93e3,"	2.25		
	"1.93e3,"	2.25		
	"1.93e3,"	2.25		
	"1.94e3,"	2.25		
