X	Y (m)	z(m)
1	1.57E+03	1.97
1	1.57E+03	1.98
1	1.57E+03	1.98
1	1.58E+03	1.98
1	1.58E+03	1.98
1	1.58E+03	1.99
1	1.59E+03	1.99
1	1.59E+03	1.99
1	1.59E+03	2
1	1.60E+03	2
1	1.60E+03	2
1	1.60E+03	2
1	1.61E+03	2
1	1.61E+03	2
1	1.62E+03	2.01
1	1.62E+03	2.01
1	1.62E+03	2.01
1	1.63E+03	2.02
1	1.63E+03	2.02
1	1.63E+03	2.02
1	1.64E+03	2.03
1	1.64E+03	2.03
1	1.64E+03	2.03
1	1.65E+03	2.03
1	1.65E+03	2.03
1	1.65E+03	2.03
1	1.66E+03	2.04
1	1.66E+03	2.04
1	1.67E+03	2.05
1	1.67E+03	2.05
1	1.67E+03	2.05
1	1.68E+03	2.06
1	1.68E+03	2.06
1	1.68E+03	2.06
1	1.69E+03	2.06
1	1.69E+03	2.06
1	1.69E+03	2.06
1	1.70E+03	2.07
1	1.70E+03	2.07
1	1.70E+03	2.07
1	1.71E+03	2.08
1	1.71E+03	2.08
1	1.71E+03	2.08
1	1.72E+03	2.09
1	1.72E+03	2.09
1	1.73E+03	2.09
1	1.73E+03	2.09
1	1.73E+03	2.09
1	1.74E+03	2.1
1	1.74E+03	2.1
1	1.74E+03	2.1
1	1.75E+03	2.11
1	1.75E+03	2.11
1	1.75E+03	2.11
1	1.76E+03	2.12
1	1.76E+03	2.12
1	1.76E+03	2.12
1	1.77E+03	2.13
1	1.77E+03	2.13
1	1.77E+03	2.13
1	1.78E+03	2.13
1	1.78E+03	2.13
1	1.79E+03	2.13
1	1.79E+03	2.14
1	1.79E+03	2.14
1	1.80E+03	2.15
1	1.80E+03	2.15
1	1.80E+03	2.15
1	1.81E+03	2.16
1	1.81E+03	2.16
1	1.81E+03	2.16
1	1.82E+03	2.16
1	1.82E+03	2.16
1	1.82E+03	2.16
1	1.83E+03	2.17
1	1.83E+03	2.17
1	1.84E+03	2.17
1	1.84E+03	2.18
1	1.84E+03	2.18
1	1.85E+03	2.18
1	1.85E+03	2.19
1	1.85E+03	2.19
1	1.86E+03	2.19
1	1.86E+03	2.19
1	1.86E+03	2.19
1	1.87E+03	2.2
1	1.87E+03	2.2
1	1.87E+03	2.2
1	1.88E+03	2.21
1	1.88E+03	2.21
1	1.88E+03	2.21
1	1.89E+03	2.22
1	1.89E+03	2.22
1	1.90E+03	2.22
1	1.90E+03	2.22
1	1.90E+03	2.22
1	1.91E+03	2.23
1	1.91E+03	2.23
1	1.91E+03	2.23
1	1.92E+03	2.24
1	1.92E+03	2.24
1	1.92E+03	2.24
1	1.93E+03	2.25
1	1.93E+03	2.25
1	1.93E+03	2.25
1	1.94E+03	2.25
1	1.94E+03	2.25
1	1.95E+03	2.25
1	1.95E+03	2.26
1	1.95E+03	2.26
1	1.96E+03	2.27
1	1.96E+03	2.27
1	1.96E+03	2.27
1	1.97E+03	2.28
1	1.97E+03	2.28
1	1.97E+03	2.28
1	1.98E+03	2.29
1	1.98E+03	2.29
1	1.98E+03	2.29
1	1.99E+03	2.29
1	1.99E+03	2.29
1	1.99E+03	2.29
1	2.00E+03	2.3
1	2.00E+03	2.3
1	2.01E+03	2.31
1	2.01E+03	2.31
1	2.01E+03	2.31
1	2.02E+03	2.32
1	2.02E+03	2.32
1	2.02E+03	2.32
